title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source,must_have_abstract,title_zh,abstract_zh,categories,stable_id
Demonstrating real-time and low-latency quantum error correction with superconducting qubits,https://www.nature.com/articles/s41467-026-73331-6,,Physical sciences : Nature Communications subject feeds,2026-06-01 00:00:00+00:00,,Alexander D. Hill,,"Quantum error correction will be essential for quantum computers to realise their full potential. As quantum computers advance towards demonstrating a universal fault-tolerant logical gate set, implementing scalable and low-latency real-time decoding will be crucial to avoid an exponential slowdown and maintain a fast logical clock rate. Here, we demonstrate low-latency feedback with a scalable FPGA decoder integrated into the control system of a superconducting quantum processor. We perform an 8-qubit stability experiment with up to 25 decoding rounds and a sub-microsecond mean decoding time per round, providing strong evidence that the backlog problem will be avoided when the decoder is operated as a streaming decoder on a superconducting hardware with the strictest speed requirements. We observe logical error suppression as the number of decoding rounds is increased. We also implement and time a fast-feedback experiment demonstrating a decoding response time of 9.6 μs for a total of 9 measurement rounds.",nature_html,,使用超导量子位演示实时和低延迟量子纠错,量子纠错对于量子计算机充分发挥其潜力至关重要。随着量子计算机朝着展示通用容错逻辑门集的方向发展，实现可扩展和低延迟的实时解码对于避免指数级减速和保持快速逻辑时钟速率至关重要。在这里，我们展示了将可扩展 FPGA 解码器集成到超导量子处理器控制系统中的低延迟反馈。我们进行了多达 25 轮解码的 8 量子位稳定性实验，每轮平均解码时间为亚微秒，提供了强有力的证据，证明当解码器在具有最严格速度要求的超导硬件上作为流解码器运行时，可以避免积压问题。随着解码轮数的增加，我们观察到逻辑错误抑制。我们还实施并计时了快速反馈实验，展示了总共 9 轮测量的解码响应时间为 9.6 μs。,,0f627feacf1ea7d0
Quantum critical behavior of cuprate superconductors observed by inelastic X-ray scattering,https://www.nature.com/articles/s41467-026-72812-y,,Physical sciences : Nature Communications subject feeds,2026-06-01 00:00:00+00:00,,D. J. Huang,,"Progress toward a complete understanding of cuprate superconductors has been hindered by their intricate phase diagram, potentially linked to a quantum critical point (QCP). However, conclusive evidence for the QCP is lacking, as the presumed QCP is buried under the superconducting dome, disguising its presence. Here, we use high-resolution resonant inelastic X-ray scattering to examine the dynamical charge-charge correlation in La2−xSrxCuO4 and uncover the quantum critical scaling, a key feature required for a QCP. Specifically, we observed that the inverse correlation lengths for various dopings and temperatures collapsed onto a universal scaling curve, yielding a critical exponent ν of 0.74 ± 0.08. The non-negativity of this exponent confirms the presence of a QCP. Remarkably, the value of ν suggests that while the QCP is manifested through the charge-density wave, other orders also participate, such that the QCP appears to belong to the universality class characterized by the O(4) symmetry, reminiscent of the microscopic SO(4) symmetry in the Hubbard model at half-filling. Further analysis indicates that the QCP is highly dissipative with a short quasi-particle lifetime, reflecting the intertwined quantum fluctuations due to its being buried inside the superconducting state.",nature_html,,非弹性 X 射线散射观察铜酸盐超导体的量子临界行为,铜酸盐超导体复杂的相图可能与量子临界点（QCP）相关，阻碍了对铜酸盐超导体的全面理解。然而，QCP 缺乏确凿的证据，因为假定的 QCP 被埋在超导穹顶下，掩盖了它的存在。在这里，我们使用高分辨率共振非弹性 X 射线散射来检查 La2−xSrxCuO4 中的动态电荷-电荷相关性，并揭示量子临界尺度，这是 QCP 所需的关键特征。具体来说，我们观察到各种掺杂和温度的逆相关长度崩溃到通用标度曲线上，产生 0.74 ± 0.08 的临界指数 ν。该指数的非负性证实了 QCP 的存在。值得注意的是，ν 的值表明，虽然 QCP 通过电荷密度波表现出来，但其他阶也参与其中，因此 QCP 似乎属于以 O(4) 对称性为特征的普适性类别，让人想起哈伯德模型中半填充时的微观 SO(4) 对称性。进一步分析表明，QCP耗散性高，准粒子寿命短，反映了由于其埋藏在超导态中而产生的相互交织的量子涨落。,,fdad6ce3d8289acb
"Buried-interface homogenization by asymmetric polymeric self-assembled layers powers efficient, durable flexible perovskite photovoltaics",https://www.nature.com/articles/s41467-026-73276-w,,Physical sciences : Nature Communications subject feeds,2026-06-01 00:00:00+00:00,,Cong Chen,,"Flexible perovskite solar cells and modules are limited by buried-interface nonuniformity and the thickness-sensitive, aggregation-prone nature of conventional small-molecule self-assembled monolayers, which create local recombination hot spots and crack-initiated degradation during large-area coating and bending. Here we introduce asymmetric polymeric self-assembled layers based on poly(4-(3-phenyl-9H-carbazol-9-yl)butyl phosphate) (Poly-3Ph-4PACz), a polycarbazole phosphonic acid featuring rigid phenyl-carbazole units and multiple anchoring sites. The polymeric architecture yields a dense, highly wetting and electrically homogeneous hole-selective contact with enhanced interfacial dipole and strong perovskite binding, enabling uniform crystallization, reduced non-radiative losses and effective stress buffering. Flexible devices reach 26.13% champion power conversion efficiency, while 57.6 cm2 flexible modules deliver 22.22%. Encapsulated modules retain 97.23% after 3000 bending cycles and show damp-heat resilience with T95 > 1000 h at 85 °C/85% RH. Beyond flexibility, Poly-3Ph-4PACz enables 27.18% rigid inverted perovskite solar cells (certified mean steady-state 27.12%) and a certified 32.95% perovskite/Si tandem efficiency. These results establish polymeric self-assembly as a scalable route to high-efficiency, durable flexible photovoltaics.",nature_html,,通过不对称聚合物自组装层实现掩埋界面均质化，为高效、耐用的柔性钙钛矿光伏发电提供动力,柔性钙钛矿太阳能电池和模块受到掩埋界面不均匀性以及传统小分子自组装单层的厚度敏感、易于聚集的性质的限制，这些性质在大面积涂覆和弯曲过程中会产生局部复合热点和裂纹引发的降解。在这里，我们介绍了基于聚（4-（3-苯基-9H-咔唑-9-基）丁基磷酸酯）（Poly-3Ph-4PACz）的不对称聚合物自组装层，聚咔唑膦酸具有刚性苯基咔唑单元和多个锚定位点。该聚合物结构产生致密、高度润湿和电均匀的空穴选择性接触，具有增强的界面偶极子和强钙钛矿结合，从而实现均匀结晶、减少非辐射损耗和有效的应力缓冲。柔性器件的冠军功率转换效率达到 26.13%，而 57.6 cm2 的柔性模块则达到 22.22%。封装模块在 3000 次弯曲循环后保留率达 97.23%，并在 85 °C/85% RH 下表现出 T95 > 1000 小时的湿热弹性。除了灵活性之外，Poly-3Ph-4PACz 还可实现 27.18% 的刚性倒置钙钛矿太阳能电池（经认证平均稳态 27.12%）和经认证的 32.95% 钙钛矿/硅串联效率。这些结果确立了聚合物自组装作为高效、耐用的柔性光伏发电的可扩展途径。,,b47d83ffb6fb2de7
Controlling an altermagnetic spin density wave in the kagome magnet CsCr3Sb5,https://www.nature.com/articles/s41467-026-73976-3,,Physical sciences : Nature Communications subject feeds,2026-06-01 00:00:00+00:00,,Bent Weber,,"The interplay of charge and spin orders lies at the heart of correlated electron physics and plays a critical role in the emergence of unconventional quantum phases. Kagome magnets provide a particularly promising platform to investigate these phenomena, owing to their geometrically frustrated lattice structure. However, resolving spin and charge orders microscopically and establishing ways to control them remain fundamental challenges. Here, we demonstrate magnetic-field control of an altermagnetic spin density wave order intertwined with charge density wave order in kagome magnet CsCr3Sb5. Scanning tunneling microscopy down to deep cryogenic temperature of 50 mK reveals two previously unreported charge density wave orders. Density functional theory confirms that one of them, a 4a0&#x00D7;3a0"" role=""presentation"">a0×3a0{a}_{0}\times \sqrt{3}{a}_{0} charge order, is coupled to a spin density wave with an altermagnetic ground state. The charge density waves can be tuned in both amplitude and phase by an external magnetic field, reflected in domain switching and stripe sliding of the charge density wave. Our findings deepen the understanding of symmetry-breaking in kagome systems, providing a tunable platform to explore the interplay of electronic correlation with emergent quantum magnetism.",nature_html,,控制 Kagome 磁铁 CsCr3Sb5 中的交变磁自旋密度波,"电荷和自旋序的相互作用是相关电子物理的核心，并且在非常规量子相的出现中发挥着关键作用。由于其几何挫败晶格结构，Kagome 磁体为研究这些现象提供了一个特别有前景的平台。然而，从微观上解决自旋和电荷顺序并建立控制它们的方法仍然是基本挑战。在这里，我们演示了 Kagome 磁体 CsCr3Sb5 中与电荷密度波序交织的交变自旋密度波序的磁场控制。扫描隧道显微镜低至 50 mK 的深低温，揭示了两个先前未报道的电荷密度波阶。密度泛函理论证实，其中一个 4a0×3a0"" role=""presentation"">a0×3a0{a}_{0}\times \sqrt{3}{a}_{0} 电荷序与具有变磁基态的自旋密度波耦合。电荷密度波可以通过外部磁场在幅度和相位上进行调谐，反映在电荷密度波的域切换和条纹滑动中。我们的发现加深了对对称性破缺的理解kagome 系统，提供了一个可调平台来探索电子关联与新兴量子磁性的相互作用。",,b5235ab4fbbb17de
Printable grayscale nano-template for full-colour organic light-emitting diode near-eye displays with 3D achromatic metalenses,https://www.nature.com/articles/s41467-026-73940-1,,Physical sciences : Nature Communications subject feeds,2026-06-01 00:00:00+00:00,,Junsuk Rho,,"Achromatic metalenses are essential for enabling compact, full-color imaging systems in augmented and virtual reality displays. Here, we present printable 3D achromatic metalenses using grayscale electron beam lithography (EBL) and dry etching-based height-encoded nano-template. By integrating nanoimprint lithography (NIL) from a nano-template without a soft mold, we realize high fidelity and throughput of 3D achromatic metalenses. The imprinted 3D meta-atoms provide controllable height diversity, introducing an additional degree of freedom for phase engineering even on a low-index resin platform. We design the metalens using a library-based phase-matching, where precomputed electromagnetic responses are used to select meta-atoms that best reproduce the hyperbolic phase simultaneously at RGB wavelengths. Our 3D achromatic metalens with a numerical aperture of 0.31 achieves diffraction-limited focusing at the same focal length across RGB wavelengths. The measured focusing efficiencies are 14.8%, 11.3%, and 12.3% at 450, 532, and 635 nm, respectively. As a proof of concept, we apply our 3D achromatic metalenses to a VR imaging platform, achieving a full-colour image. This work highlights grayscale EBL and NIL as a critical solution for achieving both aberration-free performance and scalable production, paving the way for next-generation compact and full-colour meta-optics.",nature_html,,用于具有 3D 消色差超透镜的全彩有机发光二极管近眼显示器的可打印灰度纳米模板,消色差超透镜对于在增强现实和虚拟现实显示器中实现紧凑的全彩成像系统至关重要。在这里，我们展示了使用灰度电子束光刻 (EBL) 和基于干法蚀刻的高度编码纳米模板的可打印 3D 消色差超透镜。通过在没有软模具的情况下从纳米模板集成纳米压印光刻 (NIL)，我们实现了 3D 消色差超透镜的高保真度和吞吐量。压印的 3D 元原子提供了可控的高度多样性，即使在低折射率树脂平台上也为相工程引入了额外的自由度。我们使用基于库的相位匹配来设计超透镜，其中预先计算的电磁响应用于选择在 RGB 波长下同时最好地再现双曲相位的元原子。我们的数值孔径为 0.31 的 3D 消色差超透镜可在 RGB 波长的相同焦距下实现衍射极限聚焦。测量的聚焦效率在 450 nm、532 nm 和 635 nm 处分别为 14.8%、11.3% 和 12.3%。作为概念验证，我们将 3D 消色差超透镜应用于 VR 成像平台，实现全彩图像。这项工作强调灰度 EBL 和 NIL 作为实现无像差性能和可扩展生产的关键解决方案，为下一代紧凑型全色超光学器件铺平了道路。,,b9796482ab856fc9
Multiscale structured MXene/polyethylene bulk nanocomposites for EMI shielding and anisotropic thermal management,https://www.cell.com/matter/fulltext/S2590-2385(26)00218-3?rss=yes,,Matter,2026-06-01 00:00:00+00:00,10.1016/j.matt.2026.102855,Tianxue Zhu,,"The synergistic combination of nanoconfinement and Z-direction crack toughening significantly boosts mechanical performance. This multiscale architecture imparts strong electrothermal anisotropy and achieves high absorption-dominated EMI shielding (40.40 dB) at a low MXene loading of 2.25 vol %, while the PE matrix provides outstanding chemical stability under harsh acidic and alkaline conditions.",rss_cell,,用于 EMI 屏蔽和各向异性热管理的多尺度结构 MXene/聚乙烯块体纳米复合材料,纳米约束和 Z 方向裂纹增韧的协同组合显着提高了机械性能。这种多尺度架构赋予了强大的电热各向异性，并在 2.25 vol% 的低 MXene 负载量下实现了高吸收主导的 EMI 屏蔽 (40.40 dB)，而 PE 基质在恶劣的酸性和碱性条件下提供了出色的化学稳定性。,,843fbdf7269189de
Energy poverty and wealth under economic and energy policy uncertainty,https://www.sciencedirect.com/science/article/pii/S030142152600337X?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-06-01 00:00:00+00:00,,Muhammad Haris,,,,,经济和能源政策不确定性下的能源贫困与财富,,,983ecafadfd3f4a6
Cycling of Fe(II)/Fe(III) in the euphotic zone mediated by mineral photocatalysis,https://www.nature.com/articles/s41467-026-73469-3,,Earth and environmental sciences : Nature Communications subject feeds,2026-06-01 00:00:00+00:00,,Song Jin,,"The marine iron cycle is now recognized as fast and dynamic, partly fueled by vast particulate iron inputs. Yet the mechanisms that activate this reservoir to sustain productivity remain unresolved. Here we show that mineral photocatalysis, an overlooked abiotic process, provides a key activation pathway for Fe(II) production. Laboratory experiments using synthetic iron oxides and anatase in artificial seawater demonstrate that anatase (TiO2) drives rapid Fe(III)-to-Fe(II) cycling at rates up to fourfold higher than current model assumptions. We propose this process explains the paradox of persistent Fe(II) in sunlit waters as a high-flux steady state of photochemical production coupled with biological uptake. Our findings establish mineral photocatalysis as a key driver in the ocean iron cycle, indicating that bioavailable iron fluxes from particles have been underestimated. Integrating photo-geochemical pathways into ocean models will improve predictions of iron recycling and ecosystem responses.",nature_html,,矿物光催化介导的透光带中 Fe(II)/Fe(III) 的循环,海洋铁循环现在被认为是快速且动态的，部分是由大量的颗粒铁输入推动的。然而，激活这一水库以维持生产力的机制仍未解决。在这里，我们展示了矿物光催化这一被忽视的非生物过程，为 Fe(II) 的生产提供了关键的激活途径。在人造海水中使用合成氧化铁和锐钛矿进行的实验室实验表明，锐钛矿 (TiO2) 能够以比当前模型假设高四倍的速率驱动快速 Fe(III) 到 Fe(II) 循环。我们提出这个过程解释了阳光照射水中持久性 Fe(II) 的悖论，即光化学产生与生物吸收的高通量稳态。我们的研究结果表明矿物光催化是海洋铁循环的关键驱动因素，这表明颗粒中的生物可利用铁通量被低估了。将光地球化学路径整合到海洋模型中将改善对铁循环和生态系统响应的预测。,,cdbd87ae24cb677b
σ–p Hyperconjugation–Enabled Covalent Organic Frameworks for Programmable Cascaded Optical Modulation,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.73558?af=R,,Wiley: Advanced Materials: Table of Contents,2026-06-01 06:32:31+00:00,10.1002/adma.73558,Bing Yan,,"ABSTRACT
                  
                    σ–p hyperconjugation is identified as an effective molecular lever for regulating the excited‐state behavior and donor characteristics of covalent organic frameworks (COFs). Activation of σ–p hyperconjugation amplifies the fluorescence quantum yield of COFs by up to 167‐fold, accompanied by a pronounced redistribution of excited‐state charge density. This atomic‐level electronic regulation enables programmable control over both the direction and magnitude of interfacial charge transfer in COF‐OMe/Eu@UiO‐66‐(COOH)
                    2
                    heterojunctions, giving rise to cascaded excitation–emission coupling and excitation‐dependent multicolor outputs. Perturbation of the hyperconjugation‐enhanced interface by hormone binding modulates the interfacial charge‐transfer landscape, resulting in distinct optical fingerprints that reflect subtle molecular stimuli. When incorporated into electrospun polyacrylonitrile membranes, these programmable optical responses are preserved in a flexible, antibacterial, and machine‐learning‐readable format, enabling rapid visual readout, quantitative concentration discrimination, and efficient solid‐phase extraction. Conceptually inspired by the multilayered optical modulation of chameleon skin, this work establishes σ–p hyperconjugation as a general design principle for constructing electronically adaptive COF–MOF heterostructures capable of transducing molecular perturbations into tunable optical signals.",crossref,,用于可编程级联光调制的σ-p超共轭共价有机框架,"摘要
                  
                    σ-p超共轭被认为是调节共价有机框架（COF）的激发态行为和供体特征的有效分子杠杆。 σ-p超共轭的激活将COF的荧光量子产率放大高达167倍，并伴随着激发态电荷密度的明显重新分布。这种原子级电子调节可以对 COF-OMe/Eu@UiO-66-(COOH) 中界面电荷转移的方向和大小进行可编程控制
                    2
                    异质结，产生级联激发-发射耦合和激发相关的多色输出。激素结合对超共轭增强界面的扰动调节了界面电荷转移景观，从而产生反映微妙分子刺激的独特光学指纹。当合并到电纺聚丙烯腈膜中时，这些可编程光学响应以灵活、抗菌和机器学习可读的格式保存，从而实现快速视觉读出、定量浓度辨别和高效固相萃取。受变色龙皮肤多层光学调制的概念启发，这项工作将 σ-p 超共轭建立为构建电子自适应 COF-MOF 异质结构的一般设计原理，该异质结构能够将分子扰动转换为可调谐光信号。",,bd45aa01f594cc46
Bio‐Ionic Liquid‐Induced Rapid Self‐Initiating Tough Ionogels for In Situ Adhesion,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.73565?af=R,,Wiley: Advanced Materials: Table of Contents,2026-06-01 06:33:43+00:00,10.1002/adma.73565,Feng Yan,,"ABSTRACT
                  
                    Synthesis of ionogels by photoinitiation and thermal initiation suffers from strict conditions and poor biocompatibility. In addition, achieving high mechanical strength and strong adhesive strength simultaneously remains difficult for ionogels. Herein, we report a bio‐ionic liquid‐induced self‐initiated strategy for the rapid and in situ polymerization mediated by liquid metal, which enables the fabrication of tough ionogels with favorable biocompatibility and robust interfacial adhesion. The malic acid/L‐(−)‐carnitine‐based ionic liquid disrupted the surface oxide layer of the liquid metal to accelerate in situ polymerization while simultaneously constructing a dynamic topological network through strong, reversible interactions with the polymer. This endowed the ionogel with high fracture strength (7.2 MPa), toughness (41.7 MJ m
                    −3
                    ), and strong adhesion (7.6 MPa on glass). Ionogels exhibited photothermal responsiveness, enabling thermally reversible adhesion and real‐time adhesion states monitoring. Owing to good tissue adhesion, ionogels served as bioelectrodes for stable acquisition of physiological signals. This work offers meaningful guidance for the rational design of ionogels for applications in intelligent adhesives and bioelectronics.",crossref,,生物离子液体诱导的快速自引发坚韧离子凝胶用于原位粘附,"摘要
                  
                    光引发和热引发合成离子凝胶的条件严格且生物相容性差。此外，对于离子凝胶来说，同时实现高机械强度和强粘合强度仍然很困难。在此，我们报告了一种生物离子液体诱导的由液态金属介导的快速原位聚合的自引发策略，该策略能够制造具有良好生物相容性和强大界面粘附力的坚韧离子凝胶。苹果酸/L-(-)-肉碱基离子液体破坏了液态金属的表面氧化层，加速了原位聚合，同时通过与聚合物的强可逆相互作用构建了动态拓扑网络。这赋予了离子凝胶高断裂强度 (7.2 MPa)、韧性 (41.7 MJ m
                    −3
                    ）和强附着力（在玻璃上为 7.6 MPa）。离子凝胶表现出光热响应性，实现热可逆粘附和实时粘附状态监测。由于良好的组织粘附性，离子凝胶可以作为生物电极来稳定采集生理信号。这项工作为智能粘合剂和生物电子学应用中离子凝胶的合理设计提供了有意义的指导。",,36e2a094bbd4a731
Mechanically Programmable DNA Hydrogel Microparticles for 3D Cellular Systems,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202514218?af=R,,Wiley: Advanced Materials: Table of Contents,2026-06-01 06:33:48+00:00,10.1002/adma.202514218,Kerstin Göpfrich,,"ABSTRACT
                  Hydrogel microparticles (HMPs) are powerful tools to study and manipulate cellular behavior in 3D cell culture systems and animal models. Here, fully DNA‐based HMPs are presented, whose material properties can be precisely tuned by sequence‐programmable design of self‐assembling DNA nanostructures. These DNA‐HMPs offer control over size, stiffness, viscoelasticity and ligand presentation. They are formed by microfluidic encapsulation of two types of orthogonal DNA nanostars and a sequence‐complementary DNA linker in water‐in‐oil droplets. By varying the valency of the DNA nanostar designs, tunable mechanical properties are achieved – spanning three orders of magnitude in Young's modulus from  to  with distinct viscoelastic behavior. Click‐chemistry based functionalization with the small fibronectin‐derived peptide cyclic‐RGD (c[RGD]) enables integration into fibroblast spheroids. DNA‐HMPs are stably retained within the spheroids for several days and undergo remodeling, indicating active interactions between the cells and the DNA‐HMPs. Combining programmable material properties and inherent biocompatibility of DNA with straightforward functionalization and stimuli‐responsiveness, these DNA‐HMPs represent a versatile tool to probe and manipulate tissue behaviors in 3D cell cultures.",crossref,,用于 3D 细胞系统的机械可编程 DNA 水凝胶微粒,"摘要
                  水凝胶微粒 (HMP) 是研究和操纵 3D 细胞培养系统和动物模型中细胞行为的强大工具。在这里，提出了完全基于 DNA 的 HMP，其材料特性可以通过自组装 DNA 纳米结构的序列可编程设计来精确调节。这些 DNA-HMP 可控制尺寸、刚度、粘弹性和配体呈递。它们是通过微流体封装两种类型的正交 DNA 纳米星和油包水滴中的序列互补 DNA 连接体而形成的。通过改变 DNA 纳米星设计的化合价，可实现可调的机械性能——杨氏模量跨越三个数量级，具有独特的粘弹性行为。基于点击化学的小纤连蛋白衍生肽环-RGD (c[RGD]) 的功能化能够整合到成纤维细胞球体中。 DNA-HMP 在球体中稳定保留数天并进行重塑，表明细胞和 DNA-HMP 之间存在活跃的相互作用。这些 DNA-HMP 将可编程材料特性和 DNA 固有的生物相容性与简单的功能化和刺激响应性相结合，成为探测和操纵 3D 细胞培养物中组织行为的多功能工具。",,cdabeb8f9a9e9725
Molecular Engineering of the Nano‐Bio Interface for Programmable and Precision Protein Delivery,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.73544?af=R,,Wiley: Advanced Materials: Table of Contents,2026-06-01 06:37:57+00:00,10.1002/adma.73544,Ming Wang,,"ABSTRACT
                  Protein therapeutics offer unparalleled specificity and immediate bioactivity for addressing complex pathologies; however, their vast therapeutic potential is fundamentally constrained by intrinsic structural vulnerability and the formidable barrier of cellular membrane impermeability. This review delineates the transformative paradigm shift in nanoparticle‐mediated protein delivery, where advanced molecular engineering enables the precise orchestration of the nano‐bio interface and exceptional spatiotemporal resolution. We systematically summarize a diverse repertoire of cutting‐edge nanoplatforms—including lipid nanoparticles, polymeric assemblies, porous nanomaterials, and supramolecular architectures—highlighting how their chemical compositions and structural motifs are tailored to navigate multi‐scale physiological barriers. A central emphasis is placed on strategic innovations in high‐efficiency protein encapsulation, organ‐selective targeting, and the critical transition from endosomal sequestration to cytosolic liberation, all of which are pivotal for maximizing therapeutic potency. Furthermore, we critically address the current challenges in tissue‐specific delivery and envision future frontiers, such as artificial intelligence (AI)‐driven nanocarrier discovery, long‐term biosafety, the path toward manufacture and clinical translation. By bridging materials chemistry with the complex cell biology of proteins, this review provides a visionary roadmap for the next generation of delivery systems, aiming to redefine the landscape of protein‐based molecular medicine.",crossref,,用于可编程和精确蛋白质递送的纳米生物界面的分子工程,"摘要
                  蛋白质疗法为解决复杂的病理学问题提供了无与伦比的特异性和直接的生物活性；然而，它们巨大的治疗潜力从根本上受到内在结构脆弱性和细胞膜不可渗透性的强大屏障的限制。这篇综述描述了纳米颗粒介导的蛋白质递送的革命性范式转变，其中先进的分子工程能够精确协调纳米生物界面和卓越的时空分辨率。我们系统地总结了各种尖端纳米平台，包括脂质纳米颗粒、聚合物组件、多孔纳米材料和超分子结构，强调了它们的化学成分和结构基序如何定制以克服多尺度的生理障碍。重点放在高效蛋白质封装、器官选择性靶向以及从内体隔离到胞质释放的关键转变方面的战略创新，所有这些对于最大化治疗效力都至关重要。此外，我们批判性地解决当前组织特异性递送的挑战，并展望未来的前沿，例如人工智能（AI）驱动的纳米载体发现、长期生物安全、制造和临床转化之路。通过将材料化学与蛋白质的复杂细胞生物学联系起来，这篇综述为下一代递送系统提供了一个富有远见的路线图，旨在重新定义蛋白质-b的前景",,2a6cb2f283ebd973
Synthetic pectin–cellulose nanofiber capsule recapitulates the mechanical properties of a regenerating plant cell wall,https://www.pnas.org/doi/abs/10.1073/pnas.2528515123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,,Proceedings of the National Academy of Sciences: Keyword search for query,2026-06-01 07:00:00+00:00,10.1073/pnas.2528515123,Pauline Durand-Smet,,"Plant primary cell walls are dynamic supramolecular assemblies composed of layered cellulose, hemicellulose, and pectin, progressively built through synthesis and secretion. However, the specific architectural features and structural components sufficient to endow the mechanical properties of the wall remain unclear. Here, we construct a minimal synthetic spherical shell and compare its structural and mechanical properties to those of a plant single-cell system. To eliminate complexities from intercellular connectivity and developmental history, we exploit the ability of plant protoplasts to regenerate cell walls de novo. Compression tests of regenerating protoplasts between parallel plates reveal that wall stiffness increases with wall thickening over time. Despite differences in assembly pathways, architecture, and composition, the synthetic shell exhibits a similar thickness-dependent modulus and similar material stiffness. The synthetic shell, mainly composed of pectin and cellulose nanofibers, mirrors the mechanical behavior of regenerating primary cell walls, suggesting that these components play a major role in conferring key mechanical properties in the limit of compressive small deformations. Extending this comparative approach should allow similarities and differences in component interactions in controlling wall behavior to be identified.",crossref,,合成果胶-纤维素纳米纤维胶囊重现了再生植物细胞壁的机械特性,植物初生细胞壁是由层状纤维素、半纤维素和果胶组成的动态超分子组件，通过合成和分泌逐渐构建。然而，足以赋予墙体机械性能的具体建筑特征和结构组件仍不清楚。在这里，我们构建了一个最小的合成球壳，并将其结构和机械性能与植物单细胞系统的结构和机械性能进行了比较。为了消除细胞间连接和发育历史的复杂性，我们利用植物原生质体从头再生细胞壁的能力。平行板之间再生原生质体的压缩测试表明，随着时间的推移，壁的刚度随着壁的增厚而增加。尽管组装路径、结构和成分存在差异，但合成壳体表现出相似的厚度相关模量和相似的材料刚度。合成壳主要由果胶和纤维素纳米纤维组成，反映了再生初生细胞壁的机械行为，表明这些成分在小压缩变形限制下赋予关键机械性能方面发挥着重要作用。扩展这种比较方法应该可以识别控制壁行为的组件相互作用的相似性和差异。,,e2a65b823ad8cddb
"Impacts of future sea level change on Greenland from community knowledge, coastal mapping, and glacial isostatic adjustment models",https://www.pnas.org/doi/abs/10.1073/pnas.2528615123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,,Proceedings of the National Academy of Sciences: Keyword search for query,2026-06-01 07:00:00+00:00,10.1073/pnas.2528615123,Karl Zinglersen,,"Making predictions of global change relevant to individual communities is a critical challenge, especially where local impacts diverge from global predictions. While sea level is rising globally, in Greenland, sea level is predicted to fall over the coming century due to land rebound and sea surface lowering, consequences of glacial isostatic adjustment from both past and future ice loss. Here we present results of a US and Greenland scientific partnership, working with the community of Aasiaat, West Greenland, to identify the impacts of future sea level change where sea level is projected to fall 0.41 to 0.93 m by 2100 CE. Through collaboratively designed, conducted, and interpreted multibeam bathymetry surveys combined with targeted glacial isostatic adjustment models, we identify areas that will be most impacted by sea level fall. We identify two shallow channels where disruption to navigation and nutrient cycles will occur when water level falls beneath critical depth thresholds. To make these predictions useful we established communication pathways to share findings effectively across a broad array of interest groups by engaging with community members, government officials, and students. This multipronged approach of collaboratively designed observations, locally targeted impact modeling and integrated formal and informal communication can be expanded to coastal communities facing environmental challenges around the world.",crossref,,根据社区知识、海岸测绘和冰川均衡调整模型，未来海平面变化对格陵兰岛的影响,对与各个社区相关的全球变化进行预测是一项严峻的挑战，特别是在当地影响与全球预测存在差异的情况下。尽管全球海平面正在上升，但在格陵兰岛，由于陆地反弹和海面下降以及过去和未来冰损失造成的冰川均衡调整的后果，预计海平面将在下个世纪下降。在这里，我们展示了美国和格陵兰岛科学伙伴关系的成果，该伙伴关系与西格陵兰岛 Aasiaat 社区合作，以确定未来海平面变化的影响，预计到公元 2100 年，海平面将下降 0.41 至 0.93 m。通过协作设计、进行和解释多波束测深调查，并结合有针对性的冰川均衡调整模型，我们确定了受海平面下降影响最严重的区域。我们确定了两个浅水河道，当水位低于临界深度阈值时，航行和营养循环就会受到干扰。为了使这些预测发挥作用，我们建立了沟通途径，通过与社区成员、政府官员和学生的接触，在广泛的利益群体中有效地分享研究结果。这种协作设计的观测、当地有针对性的影响建模以及综合正式和非正式沟通的多管齐下的方法可以扩展到世界各地面临环境挑战的沿海社区。,,50f0035f1f156722
